Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,DOI,Total Citations,Average per Year,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Genome-wide association study meta-analysis identifies seven new rheumatoid arthritis risk loci,"Stahl, Eli A.; Raychaudhuri, Soumya; Remmers, Elaine F.; Xie, Gang; Eyre, Stephen; Thomson, Brian P.; Li, Yonghong; Kurreeman, Fina A. S.; Zhernakova, Alexandra; Hinks, Anne; Guiducci, Candace; Chen, Robert; Alfredsson, Lars; Amos, Christopher I.; Ardlie, Kristin G.; Barton, Anne; Bowes, John; Brouwer, Elisabeth; Burtt, Noel P.; Catanese, Joseph J.; Coblyn, Jonathan; Coenen, Marieke J. H.; Costenbader, Karen H.; Criswell, Lindsey A.; Crusius, J. Bart A.; Cui, Jing; de Bakker, Paul I. W.; De Jager, Philip L.; Ding, Bo; Emery, Paul; Flynn, Edward; Harrison, Pille; Hocking, Lynne J.; Huizinga, Tom W. J.; Kastner, Daniel L.; Ke, Xiayi; Lee, Annette T.; Liu, Xiangdong; Martin, Paul; Morgan, Ann W.; Padyukov, Leonid; Posthumus, Marcel D.; Radstake, Timothy R. D. J.; Reid, David M.; Seielstad, Mark; Seldin, Michael F.; Shadick, Nancy A.; Steer, Sophia; Tak, Paul P.; Thomson, Wendy; van der Helm-van Mil, Annette H. M.; van der Horst-Bruinsma, Irene E.; van der Schoot, C. Ellen; van Riel, Piet L. C. M.; Weinblatt, Michael E.; Wilson, Anthony G.; Wolbink, Gert Jan; Wordsworth, B. Paul; Wijmenga, Cisca; Karlson, Elizabeth W.; Toes, Rene E. M.; de Vries, Niek; Begovich, Ann B.; Worthington, Jane; Siminovitch, Katherine A.; Gregersen, Peter K.; Klareskog, Lars; Plenge, Robert M.",BIRAC Consortium; YEAR Consortium,,,NATURE GENETICS,Jun-10,2010,42,6,508,U56,,10.1038/ng.582,764,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,84,110,121,82,89,97,77
Genome-wide association study identifies eight loci associated with blood pressure,"Newton-Cheh, Christopher; Johnson, Toby; Gateva, Vesela; Tobin, Martin D.; Bochud, Murielle; Coin, Lachlan; Najjar, Samer S.; Zhao, Jing Hua; Heath, Simon C.; Eyheramendy, Susana; Papadakis, Konstantinos; Voight, Benjamin F.; Scott, Laura J.; Zhang, Feng; Farrall, Martin; Tanaka, Toshiko; Wallace, Chris; Chambers, John C.; Khaw, Kay-Tee; Nilsson, Peter; van der Harst, Pim; Polidoro, Silvia; Grobbee, Diederick E.; Onland-Moret, N. Charlotte; Bots, Michiel L.; Wain, Louise V.; Elliott, Katherine S.; Teumer, Alexander; Luan, Jian'an; Lucas, Gavin; Kuusisto, Johanna; Burton, Paul R.; Hadley, David; McArdle, Wendy L.; Brown, Morris; Dominiczak, Anna; Newhouse, Stephen J.; Samani, Nilesh J.; Webster, John; Zeggini, Eleftheria; Beckmann, Jacques S.; Bergmann, Sven; Lim, Noha; Song, Kijoung; Vollenweider, Peter; Waeber, Gerard; Waterworth, Dawn M.; Yuan, Xin; Groop, Leif; Orho-Melander, Marju; Allione, Alessandra; Di Gregorio, Alessandra; Guarrera, Simonetta; Panico, Salvatore; Ricceri, Fulvio; Romanazzi, Valeria; Sacerdote, Carlotta; Vineis, Paolo; Barroso, Ines; Sandhu, Manjinder S.; Luben, Robert N.; Crawford, Gabriel J.; Jousilahti, Pekka; Perola, Markus; Boehnke, Michael; Bonnycastle, Lori L.; Collins, Francis S.; Jackson, Anne U.; Mohlke, Karen L.; Stringham, Heather M.; Valle, Timo T.; Willer, Cristen J.; Bergman, Richard N.; Morken, Mario A.; Doering, Angela; Gieger, Christian; Illig, Thomas; Meitinger, Thomas; Org, Elin; Pfeufer, Arne; Wichmann, H. Erich; Kathiresan, Sekar; Marrugat, Jaume; O'Donnell, Christopher J.; Schwartz, Stephen M.; Siscovick, David S.; Subirana, Isaac; Freimer, Nelson B.; Hartikainen, Anna-Liisa; McCarthy, Mark I.; O'Reilly, Paul F.; Peltonen, Leena; Pouta, Anneli; de Jong, Paul E.; Snieder, Harold; van Gilst, Wiek H.; Clarke, Robert; Goel, Anuj; Hamsten, Anders; Peden, John F.; Seedorf, Udo; Syvanen, Ann-Christine; Tognoni, Giovanni; Lakatta, Edward G.; Sanna, Serena; Scheet, Paul; Schlessinger, David; Scuteri, Angelo; Doerr, Marcus; Ernst, Florian; Felix, Stephan B.; Homuth, Georg; Lorbeer, Roberto; Reffelmann, Thorsten; Rettig, Rainer; Voelker, Uwe; Galan, Pilar; Gut, Ivo G.; Hercberg, Serge; Lathrop, G. Mark; Zelenika, Diana; Deloukas, Panos; Soranzo, Nicole; Williams, Frances M.; Zhai, Guangju; Salomaa, Veikko; Laakso, Markku; Elosua, Roberto; Forouhi, Nita G.; Volzke, Henry; Uiterwaal, Cuno S.; van der Schouw, Yvonne T.; Numans, Mattijs E.; Matullo, Giuseppe; Navis, Gerjan; Berglund, Goran; Bingham, Sheila A.; Kooner, Jaspal S.; Connell, John M.; Bandinelli, Stefania; Ferrucci, Luigi; Watkins, Hugh; Spector, Tim D.; Tuomilehto, Jaakko; Altshuler, David; Strachan, David P.; Laan, Maris; Meneton, Pierre; Wareham, Nicholas J.; Uda, Manuela; Jarvelin, Marjo-Riitta; Mooser, Vincent; Melander, Olle; Loos, Ruth J. F.; Elliott, Paul; Abecasis, Goncalo R.; Caulfield, Mark; Munroe, Patricia B.",Wellcome Trust Case Control Consor,,,NATURE GENETICS,Jun-09,2009,41,6,666,676,,10.1038/ng.361,764,69.45,0,0,0,0,0,0,0,0,0,0,0,0,21,86,107,109,93,64,75,63,78
Collaborative genome-wide association analysis supports a role for ANK3 and CACNA1C in bipolar disorder,"Ferreira, Manuel A. R.; O'Donovan, Michael C.; Meng, Yan A.; Jones, Ian R.; Ruderfer, Douglas M.; Jones, Lisa; Fan, Jinbo; Kirov, George; Perlis, Roy H.; Green, Elaine K.; Smoller, Jordan W.; Grozeva, Detelina; Stone, Jennifer; Nikolov, Ivan; Chambert, Kimberly; Hamshere, Marian L.; Nimgaonkar, Vishwajit L.; Moskvina, Valentina; Thase, Michael E.; Caesar, Sian; Sachs, Gary S.; Franklin, Jennifer; Gordon-Smith, Katherine; Ardlie, Kristin G.; Gabriel, Stacey B.; Fraser, Christine; Blumenstiel, Brendan; Defelice, Matthew; Breen, Gerome; Gill, Michael; Morris, Derek W.; Elkin, Amanda; Muir, Walter J.; McGhee, Kevin A.; Williamson, Richard; MacIntyre, Donald J.; MacLean, Alan W.; Clair, David St; Robinson, Michelle; Van Beck, Margaret; Pereira, Ana C. P.; Kandaswamy, Radhika; McQuillin, Andrew; Collier, David A.; Bass, Nicholas J.; Young, Allan H.; Lawrence, Jacob; Ferrier, I. Nicol; Anjorin, Adebayo; Farmer, Anne; Curtis, David; Scolnick, Edward M.; McGuffin, Peter; Daly, Mark J.; Corvin, Aiden P.; Holmans, Peter A.; Blackwood, Douglas H.; Gurling, Hugh M.; Owen, Michael J.; Purcell, Shaun M.; Sklar, Pamela; Craddock, Nick",Wellcome Trust Case Control Consor,,,NATURE GENETICS,Sep-08,2008,40,9,1056,1058,,10.1038/ng.209,763,63.58,0,0,0,0,0,0,0,0,0,0,0,4,46,87,94,92,77,103,69,68,55
Systematic identification of trans eQTLs as putative drivers of known disease associations,"Westra, Harm-Jan; Peters, Marjolein J.; Esko, Tonu; Yaghootkar, Hanieh; Schurmann, Claudia; Kettunen, Johannes; Christiansen, Mark W.; Fairfax, Benjamin P.; Schramm, Katharina; Powell, Joseph E.; Zhernakova, Alexandra; Zhernakova, Daria V.; Veldink, Jan H.; Van den Berg, Leonard H.; Karjalainen, Juha; Withoff, Sebo; Uitterlinden, Andre G.; Hofman, Albert; Rivadeneira, Fernando; 't Hoen, Peter A. C.; Reinmaa, Eva; Fischer, Krista; Nelis, Mari; Milani, Lili; Melzer, David; Ferrucci, Luigi; Singleton, Andrew B.; Hernandez, Dena G.; Nalls, Michael A.; Homuth, Georg; Nauck, Matthias; Radke, Doerte; Voelker, Uwe; Perola, Markus; Salomaa, Veikko; Brody, Jennifer; Suchy-Dicey, Astrid; Gharib, Sina A.; Enquobahrie, Daniel A.; Lumley, Thomas; Montgomery, Grant W.; Makino, Seiko; Prokisch, Holger; Herder, Christian; Roden, Michael; Grallert, Harald; Meitinger, Thomas; Strauch, Konstantin; Li, Yang; Jansen, Ritsert C.; Visscher, Peter M.; Knight, Julian C.; Psaty, Bruce M.; Ripatti, Samuli; Teumer, Alexander; Frayling, Timothy M.; Metspalu, Andres; van Meurs, Joyce B. J.; Franke, Lude",,,,NATURE GENETICS,Oct-13,2013,45,10,1238,U195,,10.1038/ng.2756,762,108.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,70,130,157,184
"Alagille syndrome is caused by mutations in human Jagged1, which encodes a ligand for Notch1","Li, LH; Krantz, ID; Deng, Y; Genin, A; Banta, AB; Collins, CC; Qi, M; Trask, BJ; Kuo, WL; Cochran, J; Costa, T; Pierpont, MEM; Rand, EB; Piccoli, DA; Hood, L; Spinner, NB",,,,NATURE GENETICS,Jul-97,1997,16,3,243,251,,10.1038/ng0797-243,760,33.04,5,28,38,37,39,45,28,36,41,33,42,33,29,48,45,43,31,27,24,29,32
Induction of an interferon response by RNAi vectors in mammalian cells,"Bridge, AJ; Pebernard, S; Ducraux, A; Nicoulaz, AL; Iggo, R",,,,NATURE GENETICS,Jul-03,2003,34,3,263,264,,10.1038/ng1173,758,44.59,0,0,0,0,0,0,16,109,119,101,77,55,57,39,35,36,21,24,21,10,18
"DNMT1 binds HDAC2 and a new co-repressor, DMAP1, to form a complex at replication foci","Rountree, MR; Bachman, KE; Baylin, SB",,,,NATURE GENETICS,Jul-00,2000,25,3,269,277,,10.1038/77023,758,37.9,0,0,0,7,57,70,63,42,52,33,42,38,40,58,47,39,28,38,23,29,21
Peutz-Jeghers syndrome is caused by mutations in a novel serine threonine kinase,"Jenne, DE; Reimann, H; Nezu, J; Friedel, W; Loff, S; Jeschke, R; Muller, D; Back, W; Zimmer, M",,,,NATURE GENETICS,Jan-98,1998,18,1,38,44,,10.1038/ng0198-38,757,34.41,0,14,47,44,28,38,45,45,47,50,34,26,35,41,47,33,36,32,24,23,33
Large-scale genome-wide association analysis of bipolar disorder identifies a new susceptibility locus near ODZ4,"Sklar, Pamela; Ripke, Stephan; Scott, Laura J.; Andreassen, Ole A.; Cichon, Sven; Craddock, Nick; Edenberg, Howard J.; Nurnberger, John I., Jr.; Rietschel, Marcella; Blackwood, Douglas; Corvin, Aiden; Flickinger, Matthew; Guan, Weihua; Mattingsdal, Morten; McQuillin, Andrew; Kwan, Phoenix; Wienker, Thomas F.; Daly, Mark; Dudbridge, Frank; Holmans, Peter A.; Lin, Danyu; Burmeister, Margit; Greenwood, Tiffany A.; Hamshere, Marian L.; Muglia, Pierandrea; Smith, Erin N.; Zandi, Peter P.; Nievergelt, Caroline M.; McKinney, Rebecca; Shilling, Paul D.; Schork, Nicholas J.; Bloss, Cinnamon S.; Foroud, Tatiana; Koller, Daniel L.; Gershon, Elliot S.; Liu, Chunyu; Badner, Judith A.; Scheftner, William A.; Lawson, William B.; Nwulia, Evaristus A.; Hipolito, Maria; Coryell, William; Rice, John; Byerley, William; McMahon, Francis J.; Schulze, Thomas G.; Berrettini, Wade; Lohoff, Falk W.; Potash, James B.; Mahon, Pamela B.; McInnis, Melvin G.; Zoellner, Sebastian; Zhang, Peng; Craig, David W.; Szelinger, Szabocls; Barrett, Thomas B.; Breuer, Rene; Meier, Sandra; Strohmaier, Jana; Witt, Stephanie H.; Tozzi, Federica; Farmer, Anne; McGuffin, Peter; Strauss, John; Xu, Wei; Kennedy, James L.; Vincent, John B.; Matthews, Keith; Day, Richard; Ferreira, Manuel A.; O'Dushlaine, Colm; Perlis, Roy; Raychaudhuri, Soumya; Ruderfer, Douglas; Hyoun, Phil L.; Smoller, Jordan W.; Li, Jun; Absher, Devin; Thompson, Robert C.; Meng, Fan Guo; Schatzberg, Alan F.; Bunney, William E.; Barchas, Jack D.; Jones, Edward G.; Watson, Stanley J.; Myers, Richard M.; Akil, Huda; Boehnke, Michael; Chambert, Kim; Moran, Jennifer; Scolnick, Ed; Djurovic, Srdjan; Melle, Ingrid; Morken, Gunnar; Gill, Michael; Morris, Derek; Quinn, Emma; Muehleisen, Thomas W.; Degenhardt, Franziska A.; Mattheisen, Manuel; Schumacher, Johannes; Maier, Wolfgang; Steffens, Michael; Propping, Peter; Noethen, Markus M.; Anjorin, Adebayo; Bass, Nick; Gurling, Hugh; Kandaswamy, Radhika; Lawrence, Jacob; McGhee, Kevin; McIntosh, Andrew; McLean, Alan W.; Muir, Walter J.; Pickard, Benjamin S.; Breen, Gerome; St Clair, David; Caesar, Sian; Gordon-Smith, Katherine; Jones, Lisa; Fraser, Christine; Green, Elaine K.; Grozeva, Detelina; Jones, Ian R.; Kirov, George; Moskvina, Valentina; Nikolov, Ivan; O'Donovan, Michael C.; Owen, Michael J.; Collier, David A.; Elkin, Amanda; Williamson, Richard; Young, Allan H.; Ferrier, I. Nicol; Stefansson, Kari; Stefansson, Hreinn; Porgeirsson, Porgeir; Steinberg, Stacy; Gustafsson, Omar; Bergen, Sarah E.; Nimgaonkar, Vishwajit; Hultman, Christina; Landen, Mikael; Lichtenstein, Paul; Sullivan, Patrick; Schalling, Martin; Osby, Urban; Backlund, Lena; Frisen, Louise; Langstrom, Niklas; Jamain, Stephane; Leboyer, Marion; Etain, Bruno; Bellivier, Frank; Petursson, Hannes; Sigurosson, Engilbert; Mueller-Mysok, Bertram; Lucae, Susanne; Schwarz, Markus; Schofield, Peter R.; Martin, Nick; Montgomery, Grant W.; Lathrop, Mark; Oskarsson, Hogni; Bauer, Michael; Wright, Adam; Mitchell, Philip B.; Hautzinger, Martin; Reif, Andreas; Kelsoe, John R.; Purcell, Shaun M.",Psychiat GWAS Consortium Bipolar D,,,NATURE GENETICS,Oct-11,2011,43,10,977,U162,,10.1038/ng.943,751,83.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61,100,126,89,120,95
"Hephaestin, a ceruloplasmin homologue implicated in intestinal iron transport, is defective in the sla mouse","Vulpe, CD; Kuo, YM; Murphy, TL; Cowley, L; Askwith, C; Libina, N; Gitschier, J; Anderson, GJ",,,,NATURE GENETICS,Feb-99,1999,21,2,195,199,,,750,35.71,0,0,15,42,39,75,52,45,47,40,39,33,31,42,37,42,34,38,21,16,22
Reconstitution of human telomerase with the template RNA component hTR and the catalytic protein subunit hTRT,"Weinrich, SL; Pruzan, R; Ma, LB; Ouellette, M; Tesmer, VM; Holt, SE; Bodnar, AG; Lichtsteiner, S; Kim, NW; Trager, JB; Taylor, RD; Carlos, R; Andrews, WH; Wright, WE; Shay, JW; Harley, CB; Morin, GB",,,,NATURE GENETICS,Dec-97,1997,17,4,498,502,,10.1038/ng1297-498,750,32.61,0,43,65,66,67,59,47,51,39,48,34,20,26,21,11,16,27,23,22,18,19
Evidence for gene transfer and expression of factor IX in haemophilia B patients treated with an AAV vector,"Kay, MA; Manno, CS; Ragni, MV; Larson, PJ; Couto, LB; McClelland, A; Glader, B; Chew, AJ; Tai, SJ; Herzog, RW; Arruda, V; Johnson, F; Scallan, C; Skarsgard, E; Flake, AW; High, KA",,,,NATURE GENETICS,Mar-00,2000,24,3,257,261,,10.1038/73464,748,37.4,0,0,0,31,89,99,73,63,59,48,30,31,24,27,42,28,21,24,13,13,15
Common and rare variants in multifactorial susceptibility to common diseases,"Bodmer, Walter; Bonilla, Carolina",,,,NATURE GENETICS,Jun-08,2008,40,6,695,701,,10.1038/ng.f.136,746,62.17,0,0,0,0,0,0,0,0,0,0,0,12,77,119,114,102,78,61,40,57,40
High-throughput oncogene mutation profiling in human cancer,"Thomas, Roman K.; Baker, Alissa C.; DeBiasi, Ralph M.; Winckler, Wendy; LaFramboise, Thomas; Lin, William M.; Wang, Meng; Feng, Whei; Zander, Thomas; MacConnaill, Laura E.; Lee, Jeffrey C.; Nicoletti, Rick; Hatton, Charlie; Goyette, Mary; Girard, Luc; Majmudar, Kuntal; Ziaugra, Liuda; Wong, Kwok-Kin; Gabriel, Stacey; Beroukhim, Rameen; Peyton, Michael; Barretina, Jordi; Dutt, Amit; Emery, Caroline; Greulich, Heidi; Shah, Kinjal; Sasaki, Hidefumi; Gazdar, Adi; Minna, John; Armstrong, Scott A.; Mellinghoff, Ingo K.; Hodi, F. Stephen; Dranoff, Glenn; Mischel, Paul S.; Cloughesy, Tim F.; Nelson, Stan F.; Liau, Linda M.; Mertz, Kirsten; Rubin, Mark A.; Moch, Holger; Loda, Massimo; Catalona, William; Fletcher, Jonathan; Signoretti, Sabina; Kaye, Frederic; Anderson, Kenneth C.; Demetri, George D.; Dummer, Reinhard; Wagner, Stephan; Herlyn, Meenhard; Sellers, William R.; Meyerson, Matthew; Garraway, Levi A.",,,,NATURE GENETICS,Mar-07,2007,39,3,347,351,,10.1038/ng1975,744,57.23,0,0,0,0,0,0,0,0,0,0,18,39,55,67,59,80,69,75,76,82,71
Augmentation of tumor angiogenesis by a Myc-activated microRNA cluster,"Dews, Michael; Homayouni, Asal; Yu, Duonan; Murphy, Danielle; Sevignani, Cinzia; Wentzel, Erik; Furth, Emma E.; Lee, William M.; Enders, Greg H.; T Mendell, Joshua; Thomas-Tikhonenko, Andrei",,,,NATURE GENETICS,Sep-06,2006,38,9,1060,1065,,10.1038/ng1855,742,53,0,0,0,0,0,0,0,0,0,3,38,63,63,73,90,83,69,66,62,42,47
Bmi1 is expressed in vivo in intestinal stem cells,"Sangiorgi, Eugenio; Capecchi, Mario R.",,,,NATURE GENETICS,Jul-08,2008,40,7,915,920,,10.1038/ng.165,740,61.67,0,0,0,0,0,0,0,0,0,0,0,14,61,51,74,84,100,77,69,70,50
Embryonic retinoic acid synthesis is essential for early mouse post-implantation development,"Niederreither, K; Subbarayan, V; Dolle, P; Chambon, P",,,,NATURE GENETICS,Apr-99,1999,21,4,444,448,,10.1038/7788,737,35.1,0,0,16,45,45,43,49,45,38,56,39,39,38,43,38,32,37,31,26,25,25
High-efficiency deleter mice show that FLPe is an alternative to Cre-loxP,"Rodriguez, CI; Buchholz, F; Galloway, J; Sequerra, R; Kasper, J; Ayala, R; Stewart, AF; Dymecki, SM",,,,NATURE GENETICS,Jun-00,2000,25,2,139,140,,10.1038/75973,735,36.75,0,0,0,5,8,23,18,22,32,29,52,40,49,43,59,56,46,48,50,57,37
"The genome of the cucumber, Cucumis sativus L.","Huang, Sanwen; Li, Ruiqiang; Zhang, Zhonghua; Li, Li; Gu, Xingfang; Fan, Wei; Lucas, William J.; Wang, Xiaowu; Xie, Bingyan; Ni, Peixiang; Ren, Yuanyuan; Zhu, Hongmei; Li, Jun; Lin, Kui; Jin, Weiwei; Fei, Zhangjun; Li, Guangcun; Staub, Jack; Kilian, Andrzej; van der Vossen, Edwin A. G.; Wu, Yang; Guo, Jie; He, Jun; Jia, Zhiqi; Ren, Yi; Tian, Geng; Lu, Yao; Ruan, Jue; Qian, Wubin; Wang, Mingwei; Huang, Quanfei; Li, Bo; Xuan, Zhaoling; Cao, Jianjun; Asan; Wu, Zhigang; Zhang, Juanbin; Cai, Qingle; Bai, Yinqi; Zhao, Bowen; Han, Yonghua; Li, Ying; Li, Xuefeng; Wang, Shenhao; Shi, Qiuxiang; Liu, Shiqiang; Cho, Won Kyong; Kim, Jae-Yean; Xu, Yong; Heller-Uszynska, Katarzyna; Miao, Han; Cheng, Zhouchao; Zhang, Shengping; Wu, Jian; Yang, Yuhong; Kang, Houxiang; Li, Man; Liang, Huiqing; Ren, Xiaoli; Shi, Zhongbin; Wen, Ming; Jian, Min; Yang, Hailong; Zhang, Guojie; Yang, Zhentao; Chen, Rui; Liu, Shifang; Li, Jianwen; Ma, Lijia; Liu, Hui; Zhou, Yan; Zhao, Jing; Fang, Xiaodong; Li, Guoqing; Fang, Lin; Li, Yingrui; Liu, Dongyuan; Zheng, Hongkun; Zhang, Yong; Qin, Nan; Li, Zhuo; Yang, Guohua; Yang, Shuang; Bolund, Lars; Kristiansen, Karsten; Zheng, Hancheng; Li, Shaochuan; Zhang, Xiuqing; Yang, Huanming; Wang, Jian; Sun, Rifei; Zhang, Baoxi; Jiang, Shuzhi; Wang, Jun; Du, Yongchen; Li, Songgang",,,,NATURE GENETICS,Dec-09,2009,41,12,1275,U29,,10.1038/ng.475,733,66.64,0,0,0,0,0,0,0,0,0,0,0,0,0,41,69,76,81,80,98,89,74
APP locus duplication causes autosomal dominant early-onset Alzheimer disease with cerebral amyloid angiopathy,"Rovelet-Lecrux, A; Hannequin, D; Raux, G; Le Meur, N; Laquerriere, A; Vital, A; Dumanchin, C; Feuillette, S; Brice, A; Vercelletto, M; Dubas, F; Frebourg, T; Campion, D",,,,NATURE GENETICS,Jan-06,2006,38,1,24,26,,10.1038/ng1718,733,52.36,0,0,0,0,0,0,0,0,0,41,60,67,76,66,59,84,55,37,48,41,45
"GenMAPP, a new tool for viewing and analyzing microarray data on biological pathways","Dahlquist, KD; Salomonis, N; Vranizan, K; Lawlor, SC; Conklin, BR",,,,NATURE GENETICS,May-02,2002,31,1,19,20,,10.1038/ng0502-19,733,40.72,0,0,0,0,0,3,26,63,85,82,90,77,62,64,38,50,35,17,15,10,6
Systematic meta-analyses and field synopsis of genetic association studies in schizophrenia: the SzGene database,"Allen, Nicole C.; Bagade, Sachin; McQueen, Matthew B.; Ioannidis, John P. A.; Kavvoura, Fotini K.; Khoury, Muin J.; Tanzi, Rudolph E.; Bertram, Lars",,,,NATURE GENETICS,Jul-08,2008,40,7,827,834,,10.1038/ng.171,731,60.92,0,0,0,0,0,0,0,0,0,0,0,7,82,102,103,100,77,65,56,47,41
Deletion of the hypoxia-response element in the vascular endothelial growth factor promoter causes motor neuron degeneration,"Oosthuyse, B; Moons, L; Storkebaum, E; Beck, H; Nuyens, D; Brusselmans, K; Van Dorpe, J; Hellings, P; Gorselink, M; Heymans, S; Theilmeier, G; Dewerchin, M; Laudenbach, V; Vermylen, P; Raat, H; Acker, T; Vleminckx, V; Van den Bosch, L; Cashman, N; Fujisawa, H; Drost, MR; Sciot, R; Bruyninckx, F; Hicklin, DJ; Ince, C; Gressens, P; Lupu, F; Plate, KH; Robberecht, W; Herbert, JM; Collen, D; Carmeliet, P",,,,NATURE GENETICS,Jun-01,2001,28,2,131,138,,10.1038/88842,731,38.47,0,0,0,0,5,39,52,58,60,44,57,59,45,55,60,38,34,27,23,28,19
Convergent adaptation of human lactase persistence in Africa and Europe,"Tishkoff, Sarah A.; Reed, Floyd A.; Ranciaro, Alessia; Voight, Benjamin F.; Babbitt, Courtney C.; Silverman, Jesse S.; Powell, Kweli; Mortensen, Holly M.; Hirbo, Jibril B.; Osman, Maha; Ibrahim, Muntaser; Omar, Sabah A.; Lema, Godfrey; Nyambo, Thomas B.; Ghori, Jilur; Bumpstead, Suzannah; Pritchard, Jonathan K.; Wray, Gregory A.; Deloukas, Panos",,,,NATURE GENETICS,Jan-07,2007,39,1,31,40,,10.1038/ng1946,730,56.15,0,0,0,0,0,0,0,0,0,0,30,44,62,75,59,70,74,68,61,61,59
Localized Igf-1 transgene expression sustains hypertrophy and regeneration in senescent skeletal muscle,"Musaro, A; McCullagh, K; Paul, A; Houghton, L; Dobrowolny, G; Molinaro, M; Barton, ER; Sweeney, HL; Rosenthal, N",,,,NATURE GENETICS,Feb-01,2001,27,2,195,200,,10.1038/84839,728,38.32,0,0,0,0,8,36,39,34,43,60,39,48,49,71,43,46,45,35,47,26,18
Pancreatic agenesis attributable to a single nucleotide deletion in the human IPF1 gene coding sequence,"Stoffers, DA; Zinkin, NT; Stanojevic, V; Clarke, WL; Habener, JF",,,,NATURE GENETICS,Jan-97,1997,15,1,106,110,,10.1038/ng0197-106,727,31.61,7,28,21,41,43,40,36,50,40,39,50,45,31,37,33,31,30,28,26,26,21
"Functional haplotypes of PADI4, encoding citrullinating enzyme peptidylarginine deiminase 4, are associated with rheumatoid arthritis","Suzuki, A; Yamada, R; Chang, XT; Tokuhiro, S; Sawada, T; Suzuki, M; Nagasaki, M; Nakayama-Hamada, M; Kawaida, R; Ono, M; Ohtsuki, M; Furukawa, H; Yoshino, S; Yukioka, M; Tohma, S; Matsubara, T; Wakitani, S; Teshima, R; Nishioka, Y; Sekine, A; Iida, A; Takahashi, A; Tsunoda, T; Nakamura, Y; Yamamoto, K",,,,NATURE GENETICS,Aug-03,2003,34,4,395,402,,10.1038/ng1206,723,42.53,0,0,0,0,0,0,5,46,67,66,49,52,52,47,56,54,42,39,33,37,34
Haploinsufficiency of CBFA2 causes familial thrombocytopenia with propensity to develop acute myelogenous leukaemia,"Song, WJ; Sullivan, MG; Legare, RD; Hutchings, S; Tan, XL; Kufrin, D; Ratajczak, J; Resende, IC; Haworth, C; Hock, R; Loh, M; Felix, C; Roy, DC; Busque, L; Kurnit, D; Willman, C; Gewirtz, AM; Speck, NA; Bushweller, JH; Li, FP; Gardiner, K; Poncz, M; Maris, JM; Gilliland, DG",,,,NATURE GENETICS,Oct-99,1999,23,2,166,175,,,723,34.43,0,0,3,25,45,56,43,64,43,38,37,40,32,32,37,31,32,18,29,43,42
"An autoimmune disease, APECED, caused by mutations in a novel gene featuring two PHD-type zinc-finger domains","Aaltonen, J; Bjorses, P; Perheentupa, J; HorelliKuitunen, N; Palotie, A; Peltonen, L; Lee, YS; Francis, F; Hennig, S; Thiel, C; Lehrach, H; Yaspo, ML",,,,NATURE GENETICS,Dec-97,1997,17,4,399,403,,10.1038/ng1297-399,723,31.43,0,25,24,36,35,40,32,32,39,41,24,43,40,34,43,38,33,26,33,30,33
Mutations in human cause limb and cardiac malformation in Holt-Oram syndrome,"Basson, CT; Bachinsky, DR; Lin, RC; Levi, T; Elkins, JA; Soults, J; Grayzel, D; Kroumpouzou, E; Traill, TA; LeblancStraceski, J; Renault, B; Kucherlapati, R; Seidman, JG; Seidman, CE",,,,NATURE GENETICS,Jan-97,1997,15,1,30,35,,10.1038/ng0197-30,722,31.39,12,25,40,39,35,37,45,43,47,31,27,39,23,35,33,33,24,35,32,32,22
Identification of loci associated with schizophrenia by genome-wide association and follow-up,"O'Donovan, Michael C.; Craddock, Nicholas; Norton, Nadine; Williams, Hywel; Peirce, Timothy; Moskvina, Valentina; Nikolov, Ivan; Hamshere, Marian; Carroll, Liam; Georgieva, Lyudmila; Dwyer, Sarah; Holmans, Peter; Marchini, Jonathan L.; Spencer, Chris C. A.; Howie, Bryan; Leung, Hin-Tak; Hartmann, Annette M.; Moeller, Hans-Juergen; Morris, Derek W.; Shi, YongYong; Feng, GuoYin; Hoffmann, Per; Propping, Peter; Vasilescu, Catalina; Maier, Wolfgang; Rietschel, Marcella; Zammit, Stanley; Schumacher, Johannes; Quinn, Emma M.; Schulze, Thomas G.; Williams, Nigel M.; Giegling, Ina; Iwata, Nakao; Ikeda, Masashi; Darvasi, Ariel; Shifman, Sagiv; He, Lin; Duan, Jubao; Sanders, Alan R.; Levinson, Douglas F.; Gejman, Pablo V.; Cichon, Sven; Noethen, Markus M.; Gill, Michael; Corvin, Aiden; Rujescu, Dan; Kirov, George; Owen, Michael J.",Mol Genetics Of Schizophrenia Coll,,,NATURE GENETICS,Sep-08,2008,40,9,1053,1055,,10.1038/ng.201,721,60.08,0,0,0,0,0,0,0,0,0,0,0,4,62,97,107,104,81,64,64,50,45
